scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,8,0,2,16.0,CAG,8,1.279,1,8.0,22.925,3.869
Sc2,8,0,2,16.0,NA,8,4.149,1,8.0,24.761,1.833
Sc2,8,0,2,1000.0,NO,7,12.679,1,7.0,8.936,10.26
Sc2,8,0,2,1000.0,CAG,8,1.279,1,8.0,22.925,7.073
Sc2,8,0,2,1000.0,NA,8,121.643,1,8.0,38.44,2.448
Sc2,8,1,2,4.0,NO,7,4.705,2,3.5,5.055,10.231
Sc2,8,1,2,4.0,CAG,8,0.0,1,8.0,5.552,1.94
Sc2,8,1,2,4.0,NA,8,3.737,1,8.0,18.327,0.83
Sc2,8,1,2,8.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,8.0,CAG,8,0.0,1,8.0,5.552,1.898
Sc2,8,1,2,8.0,NA,8,6.482,1,8.0,6.418,0.775
Sc2,8,1,2,12.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,12.0,CAG,8,0.0,1,8.0,5.552,2.067
Sc2,8,1,2,12.0,NA,8,1.197,1,8.0,21.178,2.511
Sc2,8,1,2,16.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,16.0,CAG,8,0.0,1,8.0,5.552,2.035
Sc2,8,1,2,16.0,NA,8,13.203,1,8.0,11.694,2.38
Sc2,8,1,2,1000.0,NO,7,4.705,1,7.0,5.055,10.231
Sc2,8,1,2,1000.0,CAG,8,0.0,1,8.0,5.552,2.958
Sc2,8,1,2,1000.0,NA,8,53.028,1,8.0,26.185,2.082
Sc2,8,2,2,4.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,4.0,CAG,8,0.0,1,8.0,5.145,1.534
Sc2,8,2,2,4.0,NA,8,2.913,1,8.0,7.753,1.877
Sc2,8,2,2,8.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,8.0,CAG,8,0.0,1,8.0,5.145,1.541
Sc2,8,2,2,8.0,NA,8,5.266,1,8.0,4.022,1.644
Sc2,8,2,2,12.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,12.0,CAG,8,0.0,1,8.0,5.145,1.666
Sc2,8,2,2,12.0,NA,8,8.267,1,8.0,13.649,1.399
Sc2,8,2,2,16.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,16.0,CAG,8,0.0,1,8.0,5.145,1.657
Sc2,8,2,2,16.0,NA,8,12.237,1,8.0,23.97,1.803
Sc2,8,2,2,1000.0,NO,7,1.404,1,7.0,4.073,10.246
Sc2,8,2,2,1000.0,CAG,8,0.0,1,8.0,5.145,2.939
Sc2,8,2,2,1000.0,NA,8,31.262,1,8.0,17.06,1.042
Sc2,8,3,2,4.0,NO,8,5.221,2,4.0,2.151,10.218
Sc2,8,3,2,4.0,CAG,8,2.559,1,8.0,5.013,0.876
Sc2,8,3,2,4.0,NA,8,3.901,1,8.0,20.576,0.904
Sc2,8,3,2,8.0,NO,8,5.221,1,8.0,2.151,10.218
Sc2,8,3,2,8.0,CAG,8,2.559,1,8.0,5.013,0.906
Sc2,8,3,2,8.0,NA,8,6.646,1,8.0,4.207,0.793
Sc2,8,3,2,12.0,NO,8,5.221,1,8.0,2.151,10.218
Sc2,8,3,2,12.0,CAG,8,2.559,1,8.0,5.013,1.007
Sc2,8,3,2,12.0,NA,8,3.901,1,8.0,53.259,1.349
Sc2,8,3,2,16.0,NO,8,5.221,1,8.0,2.151,10.218
Sc2,8,3,2,16.0,CAG,8,2.559,1,8.0,5.013,1.021
Sc2,8,3,2,16.0,NA,8,8.849,1,8.0,7.208,1.099
Sc2,8,3,2,1000.0,NO,8,5.221,1,8.0,2.151,10.218
Sc2,8,3,2,1000.0,CAG,8,2.559,1,8.0,5.013,1.61
Sc2,8,3,2,1000.0,NA,8,30.605,1,8.0,8.995,0.938
Sc2,8,4,2,4.0,NO,6,10.641,3,2.0,6.519,10.224
Sc2,8,4,2,4.0,CAG,7,1.117,1,7.0,4.877,1.874
Sc2,8,4,2,4.0,NA,8,1.279,1,8.0,5.38,1.314
Sc2,8,4,2,8.0,NO,6,10.641,2,3.0,6.519,10.224
Sc2,8,4,2,8.0,CAG,7,5.026,1,7.0,6.601,1.859
Sc2,8,4,2,8.0,NA,8,6.688,1,8.0,22.151,1.511
Sc2,8,4,2,12.0,NO,6,10.641,1,6.0,6.519,10.224
Sc2,8,4,2,12.0,CAG,8,9.411,1,8.0,8.168,2.005
Sc2,8,4,2,12.0,NA,8,4.976,1,8.0,20.331,1.917
Sc2,8,4,2,16.0,NO,6,10.641,1,6.0,6.519,10.224
Sc2,8,4,2,16.0,CAG,8,9.411,1,8.0,8.168,2.009
Sc2,8,4,2,16.0,NA,8,12.949,1,8.0,8.906,1.817
Sc2,8,4,2,1000.0,NO,6,10.641,1,6.0,6.519,10.224
Sc2,8,4,2,1000.0,CAG,8,9.411,1,8.0,8.168,3.504
Sc2,8,4,2,1000.0,NA,8,5.225,1,8.0,21.233,1.84
Sc2,8,5,2,4.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,4.0,CAG,8,0.0,1,8.0,5.848,1.555
Sc2,8,5,2,8.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,8.0,CAG,8,0.0,1,8.0,5.848,1.514
Sc2,8,5,2,12.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,12.0,CAG,8,0.0,1,8.0,5.848,1.648
Sc2,8,5,2,16.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,16.0,CAG,8,0.0,1,8.0,5.848,1.719
Sc2,8,5,2,1000.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,1000.0,CAG,8,0.0,1,8.0,5.848,2.879
Sc2,8,6,2,4.0,NO,6,7.898,2,3.0,6.03,10.213
Sc2,8,6,2,4.0,CAG,8,1.117,1,8.0,5.227,1.142
Sc2,8,6,2,8.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,8.0,CAG,8,1.117,1,8.0,5.227,0.988
Sc2,8,6,2,12.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,12.0,CAG,8,1.117,1,8.0,5.227,1.048
Sc2,8,6,2,16.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,16.0,CAG,8,1.117,1,8.0,5.227,1.06
Sc2,8,6,2,1000.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,1000.0,CAG,8,1.117,1,8.0,5.227,1.892
Sc2,8,7,2,4.0,NO,7,4.385,2,3.5,3.019,10.246
Sc2,8,7,2,4.0,CAG,8,1.117,1,8.0,3.888,1.591
Sc2,8,7,2,8.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,8.0,CAG,8,1.117,1,8.0,3.888,1.615
Sc2,8,7,2,12.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,12.0,CAG,8,1.117,1,8.0,3.888,1.718
Sc2,8,7,2,16.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,16.0,CAG,8,1.117,1,8.0,3.888,1.747
Sc2,8,7,2,1000.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,1000.0,CAG,8,1.117,1,8.0,3.888,2.975
Sc2,8,8,2,4.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,4.0,CAG,7,1.362,1,7.0,3.096,1.557
Sc2,8,8,2,8.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,8.0,CAG,8,6.388,1,8.0,5.128,1.551
Sc2,8,8,2,12.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,12.0,CAG,8,6.388,1,8.0,5.128,1.659
Sc2,8,8,2,16.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,16.0,CAG,8,6.388,1,8.0,5.128,1.713
Sc2,8,8,2,1000.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,1000.0,CAG,8,6.388,1,8.0,5.128,2.672
Sc2,8,9,2,4.0,NO,8,10.861,3,2.6667,10.47,10.233
Sc2,8,9,2,4.0,CAG,7,1.362,1,7.0,6.048,1.062
Sc2,8,9,2,8.0,NO,8,10.861,2,4.0,10.47,10.233
Sc2,8,9,2,8.0,CAG,7,5.512,1,7.0,8.021,1.022
Sc2,8,9,2,12.0,NO,8,10.861,1,8.0,10.47,10.233
Sc2,8,9,2,12.0,CAG,8,10.861,1,8.0,10.47,1.076
Sc2,8,9,2,16.0,NO,8,10.861,1,8.0,10.47,10.233
Sc2,8,9,2,16.0,CAG,8,10.861,1,8.0,10.47,0.978
Sc2,8,9,2,1000.0,NO,8,10.861,1,8.0,10.47,10.233
Sc2,8,9,2,1000.0,CAG,8,10.861,1,8.0,10.47,1.803
Sc2,20,0,2,4.0,NO,8,356.115,90,0.0889,102.681,10.379
Sc2,20,0,2,4.0,CAG,10,0.0,1,10.0,7.88,0.633
Sc2,20,0,2,4.0,NA,10,0.0,1,10.0,2.802,10.383
Sc2,20,0,2,8.0,NO,8,356.115,45,0.1778,102.681,10.379
Sc2,20,0,2,8.0,CAG,10,0.0,1,10.0,7.88,0.624
Sc2,20,0,2,8.0,NA,10,3.778,1,10.0,3.036,11.268
Sc2,20,0,2,12.0,NO,8,356.115,30,0.2667,102.681,10.379
Sc2,20,0,2,12.0,CAG,10,0.0,1,10.0,7.88,0.698
Sc2,20,0,2,12.0,NA,10,2.499,1,10.0,3.051,10.411
Sc2,20,0,2,16.0,NO,8,356.115,23,0.3478,102.681,10.379
Sc2,20,0,2,16.0,CAG,10,0.0,1,10.0,7.88,0.659
Sc2,20,0,2,16.0,NA,10,3.615,1,10.0,4.263,10.383
Sc2,20,0,2,1000.0,NO,8,356.115,1,8.0,102.681,10.379
Sc2,20,0,2,1000.0,CAG,10,0.0,1,10.0,7.88,1.15
Sc2,20,0,2,1000.0,NA,10,11.049,1,10.0,3.65,10.4
Sc2,20,1,2,4.0,NO,9,251.865,63,0.1429,66.053,10.365
Sc2,20,1,2,4.0,CAG,10,0.0,1,10.0,7.292,0.581
Sc2,20,1,2,4.0,NA,11,0.0,1,11.0,4.775,10.393
Sc2,20,1,2,8.0,NO,9,251.865,32,0.2812,66.053,10.365
Sc2,20,1,2,8.0,CAG,10,0.0,1,10.0,7.292,0.587
Sc2,20,1,2,8.0,NA,11,4.545,1,11.0,4.17,10.391
Sc2,20,1,2,12.0,NO,9,251.865,21,0.4286,66.053,10.365
Sc2,20,1,2,12.0,CAG,10,0.0,1,10.0,7.292,0.608
Sc2,20,1,2,12.0,NA,11,6.881,1,11.0,4.576,10.382
Sc2,20,1,2,16.0,NO,9,251.865,16,0.5625,66.053,10.365
Sc2,20,1,2,16.0,CAG,10,0.0,1,10.0,7.292,0.616
Sc2,20,1,2,16.0,NA,11,4.545,1,11.0,4.334,10.416
Sc2,20,1,2,1000.0,NO,9,251.865,1,9.0,66.053,10.365
Sc2,20,1,2,1000.0,CAG,10,0.0,1,10.0,7.292,1.086
Sc2,20,1,2,1000.0,NA,11,7.043,1,11.0,3.538,10.384
Sc2,20,2,2,4.0,NO,7,992.249,249,0.0281,301.61,10.373
Sc2,20,2,2,4.0,CAG,9,2.913,1,9.0,25.742,2.721
Sc2,20,2,2,4.0,NA,10,3.615,1,10.0,29.297,8.659
Sc2,20,2,2,8.0,NO,7,992.249,125,0.056,301.61,10.373
Sc2,20,2,2,8.0,CAG,9,2.913,1,9.0,25.742,2.698
Sc2,20,2,2,8.0,NA,10,4.853,1,10.0,21.641,7.524
Sc2,20,2,2,12.0,NO,7,992.249,83,0.0843,301.61,10.373
Sc2,20,2,2,12.0,CAG,9,11.367,1,9.0,27.992,2.757
Sc2,20,2,2,12.0,NA,9,6.073,1,9.0,2.207,10.414
Sc2,20,2,2,16.0,NO,7,992.249,63,0.1111,301.61,10.373
Sc2,20,2,2,16.0,CAG,9,11.367,1,9.0,27.992,2.791
Sc2,20,2,2,16.0,NA,10,5.969,1,10.0,4.787,10.455
Sc2,20,2,2,1000.0,NO,7,992.249,1,7.0,301.61,10.373
Sc2,20,2,2,1000.0,CAG,9,11.367,1,9.0,27.992,5.315
Sc2,20,2,2,1000.0,NA,10,34.273,1,10.0,10.105,9.664
Sc2,20,3,2,4.0,NO,8,404.535,102,0.0784,99.926,10.392
Sc2,20,3,2,4.0,CAG,9,0.0,1,9.0,43.09,3.924
Sc2,20,3,2,4.0,NA,10,3.453,1,10.0,10.258,8.303
Sc2,20,3,2,8.0,NO,8,404.535,51,0.1569,99.926,10.392
Sc2,20,3,2,8.0,CAG,9,0.0,1,9.0,43.09,3.937
Sc2,20,3,2,8.0,NA,10,6.032,1,10.0,6.268,6.219
Sc2,20,3,2,12.0,NO,8,404.535,34,0.2353,99.926,10.392
Sc2,20,3,2,12.0,CAG,9,11.367,1,9.0,44.837,3.928
Sc2,20,3,2,12.0,NA,9,2.337,1,9.0,1.946,10.45
Sc2,20,3,2,16.0,NO,8,404.535,26,0.3077,99.926,10.392
Sc2,20,3,2,16.0,CAG,9,11.367,1,9.0,44.837,4.074
Sc2,20,3,2,16.0,NA,10,13.704,1,10.0,10.85,6.985
