workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
dense,Sc2,8,8,1,4.0,OBL,7,0.0,1,7.0,104.981,9.142
dense,Sc2,8,8,1,4.0,JDQC,7,0.0,1,7.0,96.943,3.983
dense,Sc2,8,8,1,4.0,CAG,6,0.0,1,6.0,134.063,5.817
dense,Sc2,8,8,1,8.0,OBL,7,0.0,1,7.0,104.981,9.142
dense,Sc2,8,8,1,8.0,JDQC,7,0.0,1,7.0,104.981,3.936
dense,Sc2,8,8,1,8.0,CAG,6,0.0,1,6.0,134.063,5.877
dense,Sc2,8,8,1,16.0,OBL,7,0.0,1,7.0,104.981,9.142
dense,Sc2,8,8,1,16.0,JDQC,7,0.0,1,7.0,96.943,9.82
dense,Sc2,8,8,1,16.0,CAG,6,0.0,1,6.0,134.063,5.763
dense,Sc2,8,8,1,32.0,OBL,7,0.0,1,7.0,104.981,9.142
dense,Sc2,8,8,1,32.0,JDQC,7,0.0,1,7.0,96.943,9.032
dense,Sc2,8,8,1,32.0,CAG,7,28.912,1,7.0,144.394,5.769
dense,Sc2,8,9,1,4.0,OBL,7,66.716,17,0.4118,190.651,3.027
dense,Sc2,8,9,1,4.0,JDQC,6,0.0,1,6.0,94.295,10.249
dense,Sc2,8,9,1,4.0,CAG,6,0.0,1,6.0,182.802,6.151
dense,Sc2,8,9,1,8.0,OBL,7,66.716,9,0.7778,190.651,3.027
dense,Sc2,8,9,1,8.0,JDQC,6,0.0,1,6.0,94.295,10.236
dense,Sc2,8,9,1,8.0,CAG,6,0.0,1,6.0,182.802,6.17
dense,Sc2,8,9,1,16.0,OBL,7,66.716,5,1.4,190.651,3.027
dense,Sc2,8,9,1,16.0,JDQC,7,13.515,1,7.0,173.996,4.434
dense,Sc2,8,9,1,16.0,CAG,6,15.138,1,6.0,185.281,6.127
dense,Sc2,8,9,1,32.0,OBL,7,66.716,3,2.3333,190.651,3.027
dense,Sc2,8,9,1,32.0,JDQC,7,13.515,1,7.0,363.126,4.3
dense,Sc2,8,9,1,32.0,CAG,6,15.138,1,6.0,185.281,6.194
dense,Sc2,12,0,1,4.0,OBL,8,24.888,7,1.1429,158.932,4.481
dense,Sc2,12,0,1,4.0,JDQC,7,0.0,1,7.0,54.889,10.328
dense,Sc2,12,0,1,4.0,CAG,6,0.0,1,6.0,224.552,6.117
dense,Sc2,12,0,1,8.0,OBL,8,24.888,4,2.0,158.932,4.481
dense,Sc2,12,0,1,8.0,JDQC,7,0.0,1,7.0,54.889,10.3
dense,Sc2,12,0,1,8.0,CAG,6,0.0,1,6.0,224.552,6.131
dense,Sc2,12,0,1,16.0,OBL,8,24.888,2,4.0,158.932,4.481
dense,Sc2,12,0,1,16.0,JDQC,7,0.0,1,7.0,35.956,10.307
dense,Sc2,12,0,1,16.0,CAG,6,0.0,1,6.0,224.552,6.134
dense,Sc2,12,0,1,32.0,OBL,8,24.888,1,8.0,158.932,4.481
dense,Sc2,12,0,1,32.0,JDQC,8,25.422,1,8.0,128.13,6.896
dense,Sc2,12,0,1,32.0,CAG,7,31.898,1,7.0,236.696,6.136
dense,Sc2,12,1,1,4.0,OBL,8,0.0,1,8.0,66.553,4.335
dense,Sc2,12,1,1,4.0,JDQC,8,0.0,1,8.0,105.368,4.216
dense,Sc2,12,1,1,4.0,CAG,8,0.0,1,8.0,216.048,6.032
dense,Sc2,12,1,1,8.0,OBL,8,0.0,1,8.0,66.553,4.335
dense,Sc2,12,1,1,8.0,JDQC,8,0.0,1,8.0,105.368,4.194
dense,Sc2,12,1,1,8.0,CAG,8,0.0,1,8.0,216.048,6.043
dense,Sc2,12,1,1,16.0,OBL,8,0.0,1,8.0,66.553,4.335
dense,Sc2,12,1,1,16.0,JDQC,8,0.0,1,8.0,91.445,6.938
dense,Sc2,12,1,1,16.0,CAG,7,14.596,1,7.0,215.478,6.042
dense,Sc2,12,1,1,32.0,OBL,8,0.0,1,8.0,66.553,4.335
dense,Sc2,12,1,1,32.0,JDQC,8,0.0,1,8.0,91.634,4.197
dense,Sc2,12,1,1,32.0,CAG,7,14.596,1,7.0,215.478,6.036
dense,Sc2,12,2,1,4.0,OBL,8,23.804,6,1.3333,155.965,5.555
dense,Sc2,12,2,1,4.0,JDQC,7,0.0,1,7.0,40.106,10.325
dense,Sc2,12,2,1,4.0,CAG,6,0.0,1,6.0,184.285,6.076
dense,Sc2,12,2,1,8.0,OBL,8,23.804,3,2.6667,155.965,5.555
dense,Sc2,12,2,1,8.0,JDQC,7,0.0,1,7.0,37.248,10.295
dense,Sc2,12,2,1,8.0,CAG,6,0.0,1,6.0,184.285,6.067
dense,Sc2,12,2,1,16.0,OBL,8,23.804,2,4.0,155.965,5.555
dense,Sc2,12,2,1,16.0,JDQC,7,0.0,1,7.0,55.771,10.312
dense,Sc2,12,2,1,16.0,CAG,6,0.0,1,6.0,184.285,6.072
dense,Sc2,12,2,1,32.0,OBL,8,23.804,1,8.0,155.965,5.555
dense,Sc2,12,2,1,32.0,JDQC,8,23.269,1,8.0,120.674,4.698
dense,Sc2,12,2,1,32.0,CAG,7,31.898,1,7.0,196.429,6.056
dense,Sc2,12,3,1,4.0,OBL,8,22.734,6,1.3333,122.094,7.847
dense,Sc2,12,3,1,4.0,JDQC,7,0.0,1,7.0,33.382,10.326
dense,Sc2,12,3,1,4.0,CAG,7,0.0,1,7.0,296.548,5.934
dense,Sc2,12,3,1,8.0,OBL,8,22.734,3,2.6667,122.094,7.847
dense,Sc2,12,3,1,8.0,JDQC,7,0.0,1,7.0,52.018,10.332
dense,Sc2,12,3,1,8.0,CAG,7,0.0,1,7.0,296.548,5.97
dense,Sc2,12,3,1,16.0,OBL,8,22.734,2,4.0,122.094,7.847
dense,Sc2,12,3,1,16.0,JDQC,7,0.0,1,7.0,57.566,10.304
dense,Sc2,12,3,1,16.0,CAG,7,12.976,1,7.0,298.507,5.257
dense,Sc2,12,3,1,32.0,OBL,8,22.734,1,8.0,122.094,7.847
dense,Sc2,12,3,1,32.0,JDQC,8,23.269,1,8.0,132.357,5.229
dense,Sc2,12,3,1,32.0,CAG,7,12.976,1,7.0,298.507,5.932
dense,Sc2,12,4,1,4.0,OBL,8,0.0,1,8.0,179.068,3.722
dense,Sc2,12,4,1,4.0,JDQC,8,0.0,1,8.0,135.715,2.643
dense,Sc2,12,4,1,4.0,CAG,6,0.0,1,6.0,187.08,5.979
dense,Sc2,12,4,1,8.0,OBL,8,0.0,1,8.0,179.068,3.722
dense,Sc2,12,4,1,8.0,JDQC,8,0.0,1,8.0,189.418,6.148
dense,Sc2,12,4,1,8.0,CAG,6,0.0,1,6.0,187.08,6.024
dense,Sc2,12,4,1,16.0,OBL,8,0.0,1,8.0,179.068,3.722
