workload,Mb,seed,loss_db,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
dense,8,4,0.5,8.0,CAG,6,0.0,1,6.0,135.024,5.804
dense,8,4,1.0,8.0,OBL,8,40.013,6,1.3333,204.034,4.132
dense,8,4,1.0,8.0,JDQC,7,0.0,1,7.0,117.014,10.249
dense,8,4,1.0,8.0,CAG,6,0.0,1,6.0,147.988,5.822
dense,8,4,2.0,8.0,OBL,8,28.11,4,2.0,328.407,2.837
dense,8,4,2.0,8.0,JDQC,7,0.0,1,7.0,145.809,10.248
dense,8,4,2.0,8.0,CAG,6,0.0,1,6.0,178.853,5.806
dense,8,5,0.5,8.0,OBL,8,53.53,7,1.1429,112.426,3.916
dense,8,5,0.5,8.0,JDQC,7,0.0,1,7.0,79.377,10.258
dense,8,5,0.5,8.0,CAG,6,0.0,1,6.0,93.138,5.334
dense,8,5,1.0,8.0,OBL,8,25.953,4,2.0,131.268,3.32
dense,8,5,1.0,8.0,JDQC,7,0.0,1,7.0,92.761,10.227
dense,8,5,1.0,8.0,CAG,6,0.0,1,6.0,101.823,5.276
dense,8,5,2.0,8.0,OBL,8,53.53,7,1.1429,225.638,3.336
dense,8,5,2.0,8.0,JDQC,7,0.0,1,7.0,133.553,8.9
dense,8,5,2.0,8.0,CAG,6,0.0,1,6.0,122.502,5.296
dense,8,6,0.5,8.0,OBL,8,51.378,7,1.1429,195.004,2.191
dense,8,6,0.5,8.0,JDQC,7,0.0,1,7.0,114.994,8.946
dense,8,6,0.5,8.0,CAG,7,0.0,1,7.0,151.898,5.998
dense,8,6,1.0,8.0,OBL,8,51.378,7,1.1429,229.562,1.514
dense,8,6,1.0,8.0,JDQC,7,0.0,1,7.0,126.09,6.414
dense,8,6,1.0,8.0,CAG,7,0.0,1,7.0,166.592,6.004
dense,8,6,2.0,8.0,OBL,8,37.324,5,1.6,446.514,2.259
dense,8,6,2.0,8.0,JDQC,7,0.0,1,7.0,152.51,9.37
dense,8,6,2.0,8.0,CAG,7,0.0,1,7.0,201.576,6.007
dense,8,7,0.5,8.0,OBL,8,22.735,3,2.6667,168.733,3.177
dense,8,7,0.5,8.0,JDQC,7,0.0,1,7.0,97.165,10.242
dense,8,7,0.5,8.0,CAG,7,0.0,1,7.0,142.519,5.956
dense,8,7,1.0,8.0,OBL,8,35.711,5,1.6,180.108,2.813
dense,8,7,1.0,8.0,JDQC,7,0.0,1,7.0,106.446,10.233
dense,8,7,1.0,8.0,CAG,7,0.0,1,7.0,156.282,5.94
dense,8,7,2.0,8.0,OBL,8,22.735,3,2.6667,219.692,3.139
dense,8,7,2.0,8.0,JDQC,7,0.0,1,7.0,128.541,10.242
dense,8,7,2.0,8.0,CAG,7,0.0,1,7.0,189.051,6.026
dense,8,8,0.5,8.0,OBL,7,0.0,1,7.0,104.981,8.225
dense,8,8,0.5,8.0,JDQC,7,0.0,1,7.0,104.981,2.963
dense,8,8,0.5,8.0,CAG,6,0.0,1,6.0,134.063,5.749
dense,8,8,1.0,8.0,OBL,7,0.0,1,7.0,168.284,9.296
dense,8,8,1.0,8.0,JDQC,7,0.0,1,7.0,124.083,3.565
dense,8,8,1.0,8.0,CAG,6,0.0,1,6.0,147.67,5.768
dense,8,8,2.0,8.0,OBL,7,0.0,1,7.0,183.109,10.254
dense,8,8,2.0,8.0,JDQC,7,0.0,1,7.0,137.6,5.024
dense,8,8,2.0,8.0,CAG,6,0.0,1,6.0,181.159,5.744
dense,8,9,0.5,8.0,OBL,7,66.716,9,0.7778,190.651,2.846
dense,8,9,0.5,8.0,JDQC,6,0.0,1,6.0,94.295,10.249
dense,8,9,0.5,8.0,CAG,6,0.0,1,6.0,182.802,6.12
dense,8,9,1.0,8.0,OBL,7,36.44,5,1.4,267.358,3.094
dense,8,9,1.0,8.0,JDQC,6,0.0,1,6.0,102.445,10.249
dense,8,9,1.0,8.0,CAG,6,0.0,1,6.0,201.658,6.171
dense,8,9,2.0,8.0,OBL,7,37.97,5,1.4,776.22,2.875
dense,8,9,2.0,8.0,JDQC,6,0.0,1,6.0,124.142,10.246
dense,8,9,2.0,8.0,CAG,6,0.0,1,6.0,247.912,6.175
