workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
mixed,Sc2,8,8,1,32.0,JDQC,8,12.942,1,8.0,32.134,0.98
mixed,Sc2,8,8,1,32.0,CAG,8,6.388,1,8.0,5.128,1.93
mixed,Sc2,8,9,1,4.0,OBL,8,24.59,7,1.1429,15.612,1.908
mixed,Sc2,8,9,1,4.0,JDQC,8,2.913,1,8.0,10.081,5.228
mixed,Sc2,8,9,1,4.0,CAG,7,1.362,1,7.0,6.048,1.818
mixed,Sc2,8,9,1,8.0,OBL,8,24.59,4,2.0,15.612,1.908
mixed,Sc2,8,9,1,8.0,JDQC,8,2.913,1,8.0,17.556,2.534
mixed,Sc2,8,9,1,8.0,CAG,7,5.512,1,7.0,8.021,1.794
mixed,Sc2,8,9,1,16.0,OBL,8,24.59,2,4.0,15.612,1.908
mixed,Sc2,8,9,1,16.0,JDQC,8,15.563,1,8.0,13.663,2.408
mixed,Sc2,8,9,1,16.0,CAG,8,10.861,1,8.0,10.47,1.901
mixed,Sc2,8,9,1,32.0,OBL,8,24.59,1,8.0,15.612,1.908
mixed,Sc2,8,9,1,32.0,JDQC,8,20.863,1,8.0,14.286,1.83
mixed,Sc2,8,9,1,32.0,CAG,8,10.861,1,8.0,10.47,1.972
mixed,Sc2,12,0,1,4.0,OBL,9,0.0,1,9.0,15.616,10.109
mixed,Sc2,12,0,1,4.0,JDQC,9,0.0,1,9.0,11.86,7.401
mixed,Sc2,12,0,1,4.0,CAG,8,0.0,1,8.0,6.926,1.341
mixed,Sc2,12,0,1,8.0,OBL,9,0.0,1,9.0,15.616,10.109
mixed,Sc2,12,0,1,8.0,JDQC,9,0.0,1,9.0,12.057,6.698
mixed,Sc2,12,0,1,8.0,CAG,9,5.35,1,9.0,9.213,1.346
mixed,Sc2,12,0,1,16.0,OBL,9,0.0,1,9.0,15.616,10.109
mixed,Sc2,12,0,1,16.0,JDQC,9,0.0,1,9.0,18.693,8.048
mixed,Sc2,12,0,1,16.0,CAG,9,9.675,1,9.0,10.383,1.428
mixed,Sc2,12,0,1,32.0,OBL,9,0.0,1,9.0,15.616,10.109
mixed,Sc2,12,0,1,32.0,JDQC,9,0.0,1,9.0,15.197,7.903
mixed,Sc2,12,0,1,32.0,CAG,9,9.675,1,9.0,10.383,1.604
mixed,Sc2,12,1,1,4.0,OBL,9,1.117,1,9.0,2.042,10.315
mixed,Sc2,12,1,1,4.0,JDQC,9,1.117,1,9.0,1.784,10.288
mixed,Sc2,12,1,1,4.0,CAG,8,0.0,1,8.0,4.811,1.208
mixed,Sc2,12,1,1,8.0,OBL,9,1.117,1,9.0,2.042,10.315
mixed,Sc2,12,1,1,8.0,JDQC,9,1.117,1,9.0,3.677,10.307
mixed,Sc2,12,1,1,8.0,CAG,9,6.578,1,9.0,6.624,1.229
mixed,Sc2,12,1,1,16.0,OBL,9,1.117,1,9.0,2.042,10.315
mixed,Sc2,12,1,1,16.0,JDQC,9,1.117,1,9.0,3.863,10.283
mixed,Sc2,12,1,1,16.0,CAG,9,14.513,1,9.0,8.811,1.276
mixed,Sc2,12,1,1,32.0,OBL,9,1.117,1,9.0,2.042,10.315
mixed,Sc2,12,1,1,32.0,JDQC,9,1.117,1,9.0,3.423,10.343
mixed,Sc2,12,1,1,32.0,CAG,9,14.513,1,9.0,8.811,1.578
mixed,Sc2,12,2,1,4.0,OBL,9,0.0,1,9.0,3.886,9.842
